age,workclass,marital-status,relationship,race,sex,hours-per-week,income,region,nivel_educativo,perfil_ocupacional,cat_capital-gain,cat_capital-loss,log_capital_gain,log_capital_loss
43,Private,Married-civ-spouse,Husband,White,Male,40,<=50K,EEUU,Basica_Incompleta,Operativo_Manual,Nivel_3,Nivel_3,0.0,7.622174594817622
59,Private,Divorced,Unmarried,White,Female,40,<=50K,EEUU,Secundaria_Completa,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
56,Local-gov,Married-civ-spouse,Husband,White,Male,40,>50K,EEUU,Universitaria,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
19,Private,Never-married,Own-child,White,Male,40,<=50K,EEUU,Secundaria_Completa,Operativo_Manual,Nivel_3,Nivel_4,0.0,0.0
54,,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,60,>50K,Asia,Tecnica_o_Universitaria_Incompleta,,Nivel_3,Nivel_4,0.0,0.0
39,Private,Divorced,Not-in-family,White,Male,80,<=50K,EEUU,Secundaria_Completa,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
49,Private,Married-civ-spouse,Husband,White,Male,40,<=50K,EEUU,Secundaria_Completa,Operativo_Manual,Nivel_3,Nivel_4,0.0,0.0
23,Local-gov,Never-married,Not-in-family,White,Male,52,<=50K,EEUU,Tecnica_o_Universitaria_Incompleta,Servicios,Nivel_3,Nivel_4,0.0,0.0
20,Private,Never-married,Own-child,Black,Male,44,<=50K,EEUU,Tecnica_o_Universitaria_Incompleta,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
45,Private,Divorced,Own-child,White,Male,40,<=50K,EEUU,Universitaria,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,7.25063551189868
30,Federal-gov,Married-civ-spouse,Own-child,White,Male,40,<=50K,EEUU,Tecnica_o_Universitaria_Incompleta,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
22,State-gov,Married-civ-spouse,Husband,Black,Male,15,<=50K,EEUU,Tecnica_o_Universitaria_Incompleta,Servicios,Nivel_3,Nivel_4,0.0,0.0
48,Private,Never-married,Unmarried,White,Male,40,<=50K,Latinoamerica,Basica_Incompleta,Operativo_Manual,Nivel_3,Nivel_4,0.0,0.0
21,Private,Never-married,Own-child,White,Male,40,<=50K,EEUU,Tecnica_o_Universitaria_Incompleta,Operativo_Manual,Nivel_3,Nivel_4,0.0,0.0
19,Private,Married-AF-spouse,Wife,White,Female,25,<=50K,EEUU,Secundaria_Completa,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
31,Private,Married-civ-spouse,Husband,White,Male,38,>50K,,Tecnica_o_Universitaria_Incompleta,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
48,Self-emp-not-inc,Married-civ-spouse,Husband,White,Male,40,<=50K,EEUU,Tecnica_o_Universitaria_Incompleta,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
31,Private,Married-civ-spouse,Husband,White,Male,43,<=50K,EEUU,Basica_Incompleta,Operativo_Manual,Nivel_3,Nivel_4,0.0,0.0
53,Self-emp-not-inc,Married-civ-spouse,Husband,White,Male,40,<=50K,EEUU,Universitaria,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
24,Private,Married-civ-spouse,Husband,White,Male,50,<=50K,EEUU,Universitaria,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
49,Private,Separated,Unmarried,White,Female,40,<=50K,EEUU,Secundaria_Completa,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
25,Private,Never-married,Not-in-family,White,Male,35,<=50K,EEUU,Secundaria_Completa,Operativo_Manual,Nivel_3,Nivel_4,0.0,0.0
57,Federal-gov,Married-civ-spouse,Husband,Black,Male,40,>50K,EEUU,Universitaria,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
53,Private,Married-civ-spouse,Husband,White,Male,38,<=50K,EEUU,Secundaria_Completa,Operativo_Manual,Nivel_3,Nivel_4,0.0,0.0
44,Private,Divorced,Unmarried,White,Female,40,<=50K,EEUU,Maestría,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
41,State-gov,Married-civ-spouse,Husband,White,Male,40,<=50K,EEUU,Tecnica_o_Universitaria_Incompleta,Operativo_Manual,Nivel_3,Nivel_4,0.0,0.0
29,Private,Never-married,Not-in-family,White,Male,43,<=50K,EEUU,Tecnica_o_Universitaria_Incompleta,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
25,Private,Married-civ-spouse,Wife,Other,Female,40,<=50K,EEUU,Tecnica_o_Universitaria_Incompleta,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
18,Private,Never-married,Own-child,White,Female,30,<=50K,,Secundaria_Completa,Servicios,Nivel_3,Nivel_4,0.0,0.0
47,Private,Married-civ-spouse,Wife,White,Female,60,>50K,Latinoamerica,Escuela profesional,Administrativo_Especializado,Nivel_3,Nivel_7,0.0,7.551186867296149
50,Federal-gov,Divorced,Not-in-family,White,Male,55,>50K,EEUU,Universitaria,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
47,Self-emp-inc,Divorced,Not-in-family,White,Male,60,<=50K,EEUU,Secundaria_Completa,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
43,Private,Married-civ-spouse,Husband,White,Male,40,>50K,EEUU,Tecnica_o_Universitaria_Incompleta,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
46,Private,Married-civ-spouse,Husband,White,Male,40,<=50K,Latinoamerica,Basica_Incompleta,Operativo_Manual,Nivel_3,Nivel_4,0.0,0.0
35,Private,Married-civ-spouse,Husband,White,Male,40,<=50K,Latinoamerica,Tecnica_o_Universitaria_Incompleta,Servicios,Nivel_3,Nivel_4,0.0,0.0
41,Private,Married-civ-spouse,Husband,White,Male,48,<=50K,EEUU,Secundaria_Completa,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
30,Private,Married-civ-spouse,Husband,White,Male,40,<=50K,EEUU,Secundaria_Completa,Operativo_Manual,Nivel_2,Nivel_4,8.519989278718239,0.0
30,Private,Married-civ-spouse,Husband,White,Male,40,<=50K,EEUU,Universitaria,Administrativo_Especializado,Nivel_3,Nivel_4,7.786551806428712,0.0
32,,Married-spouse-absent,Not-in-family,White,Male,40,<=50K,,Basica_Incompleta,,Nivel_3,Nivel_4,0.0,0.0
48,Private,Married-civ-spouse,Husband,White,Male,40,<=50K,EEUU,Secundaria_Completa,Operativo_Manual,Nivel_3,Nivel_4,0.0,0.0
42,Private,Married-civ-spouse,Husband,White,Male,45,>50K,EEUU,Doctorado,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
29,Private,Divorced,Not-in-family,White,Male,58,<=50K,EEUU,Tecnica_o_Universitaria_Incompleta,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
36,Private,Married-civ-spouse,Husband,White,Male,40,<=50K,EEUU,Secundaria_Completa,Operativo_Manual,Nivel_3,Nivel_4,0.0,0.0
28,Private,Divorced,Not-in-family,White,Female,40,<=50K,EEUU,Tecnica_o_Universitaria_Incompleta,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
53,Private,Married-civ-spouse,Wife,White,Female,40,>50K,EEUU,Secundaria_Completa,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
49,Self-emp-inc,Married-civ-spouse,Husband,White,Male,50,>50K,EEUU,Tecnica_o_Universitaria_Incompleta,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
25,,Never-married,Own-child,White,Male,40,<=50K,EEUU,Tecnica_o_Universitaria_Incompleta,,Nivel_3,Nivel_4,0.0,0.0
19,Private,Never-married,Own-child,White,Male,32,<=50K,EEUU,Tecnica_o_Universitaria_Incompleta,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
31,Private,Separated,Own-child,Black,Female,40,<=50K,EEUU,Universitaria,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
29,Self-emp-not-inc,Married-civ-spouse,Husband,White,Male,70,>50K,EEUU,Universitaria,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
23,Private,Never-married,Not-in-family,White,Male,40,<=50K,EEUU,Tecnica_o_Universitaria_Incompleta,Operativo_Manual,Nivel_3,Nivel_4,0.0,0.0
79,Private,Married-civ-spouse,Other-relative,White,Male,20,<=50K,EEUU,Tecnica_o_Universitaria_Incompleta,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
27,Private,Never-married,Own-child,White,Male,40,<=50K,Latinoamerica,Secundaria_Completa,Servicios,Nivel_3,Nivel_4,0.0,0.0
40,Private,Married-civ-spouse,Husband,White,Male,40,<=50K,EEUU,Tecnica_o_Universitaria_Incompleta,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
67,,Married-civ-spouse,Husband,White,Male,2,<=50K,EEUU,Basica_Incompleta,,Nivel_3,Nivel_4,0.0,0.0
18,Private,Never-married,Own-child,White,Female,22,<=50K,EEUU,Basica_Incompleta,Servicios,Nivel_3,Nivel_4,0.0,0.0
31,Local-gov,Married-civ-spouse,Husband,White,Male,40,<=50K,EEUU,Basica_Incompleta,Operativo_Manual,Nivel_3,Nivel_4,0.0,0.0
18,Private,Never-married,Not-in-family,White,Male,30,<=50K,EEUU,Secundaria_Completa,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
52,Private,Married-civ-spouse,Husband,White,Male,40,<=50K,Latinoamerica,Universitaria,Servicios,Nivel_3,Nivel_4,0.0,0.0
46,Private,Married-civ-spouse,Wife,White,Female,40,<=50K,EEUU,Secundaria_Completa,Servicios,Nivel_3,Nivel_4,0.0,0.0
59,Private,Married-civ-spouse,Husband,White,Male,48,<=50K,EEUU,Secundaria_Completa,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
44,Private,Divorced,Not-in-family,White,Female,40,>50K,EEUU,Secundaria_Completa,Operativo_Manual,Nivel_7,Nivel_4,9.571156728415465,0.0
53,Private,Divorced,Own-child,White,Female,35,<=50K,EEUU,Secundaria_Completa,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
49,Local-gov,Married-civ-spouse,Husband,White,Male,40,>50K,EEUU,Secundaria_Completa,Servicios,Nivel_3,Nivel_4,0.0,0.0
33,Private,Married-civ-spouse,Husband,White,Male,50,<=50K,EEUU,Maestría,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
30,Private,Never-married,Not-in-family,White,Male,40,<=50K,EEUU,Basica_Incompleta,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
43,Federal-gov,Never-married,Not-in-family,White,Female,50,>50K,EEUU,Doctorado,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
57,Private,Married-civ-spouse,Husband,White,Male,40,<=50K,EEUU,Tecnica_o_Universitaria_Incompleta,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
37,Private,Divorced,Unmarried,White,Female,40,<=50K,EEUU,Tecnica_o_Universitaria_Incompleta,Operativo_Manual,Nivel_3,Nivel_4,0.0,0.0
28,Private,Divorced,Unmarried,Black,Female,25,<=50K,EEUU,Tecnica_o_Universitaria_Incompleta,Operativo_Manual,Nivel_3,Nivel_4,0.0,0.0
30,Private,Married-civ-spouse,Wife,Asian-Pac-Islander,Female,35,<=50K,,Secundaria_Completa,Administrativo_Especializado,Nivel_3,Nivel_1,0.0,7.3613754289773485
34,Local-gov,Married-civ-spouse,Husband,White,Male,40,>50K,EEUU,Universitaria,Servicios,Nivel_3,Nivel_4,0.0,0.0
29,Local-gov,Never-married,Not-in-family,White,Male,50,<=50K,EEUU,Tecnica_o_Universitaria_Incompleta,Operativo_Manual,Nivel_3,Nivel_4,0.0,0.0
48,Self-emp-not-inc,Married-civ-spouse,Husband,White,Male,60,>50K,EEUU,Doctorado,Administrativo_Especializado,Nivel_3,Nivel_7,0.0,7.551186867296149
37,Private,Married-civ-spouse,Husband,White,Male,48,>50K,EEUU,Tecnica_o_Universitaria_Incompleta,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
48,Private,Divorced,Unmarried,White,Female,40,<=50K,Europa,Tecnica_o_Universitaria_Incompleta,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
32,Federal-gov,Never-married,Own-child,Black,Male,40,<=50K,EEUU,Secundaria_Completa,Servicios,Nivel_3,Nivel_4,0.0,0.0
76,Private,Married-civ-spouse,Husband,White,Male,40,>50K,EEUU,Maestría,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
44,Private,Married-civ-spouse,Husband,White,Male,60,>50K,EEUU,Universitaria,Administrativo_Especializado,Nivel_7,Nivel_4,9.617470759403409,0.0
47,Self-emp-not-inc,Never-married,Not-in-family,White,Female,50,<=50K,EEUU,Maestría,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
20,Private,Never-married,Own-child,White,Female,40,<=50K,EEUU,Tecnica_o_Universitaria_Incompleta,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
29,Private,Never-married,Not-in-family,White,Male,40,<=50K,EEUU,Secundaria_Completa,Operativo_Manual,Nivel_3,Nivel_4,0.0,0.0
32,Self-emp-inc,Married-civ-spouse,Husband,White,Male,40,>50K,EEUU,Secundaria_Completa,Operativo_Manual,Nivel_7,Nivel_4,8.94754601503218,0.0
17,,Never-married,Own-child,White,Female,32,<=50K,EEUU,Basica_Incompleta,,Nivel_6,Nivel_4,10.436935354338399,0.0
30,Private,Never-married,Own-child,White,Male,40,<=50K,EEUU,Basica_Incompleta,Operativo_Manual,Nivel_3,Nivel_4,0.0,0.0
31,Local-gov,Never-married,Not-in-family,White,Female,40,<=50K,EEUU,Secundaria_Completa,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
42,Private,Married-civ-spouse,Husband,White,Male,40,<=50K,EEUU,Secundaria_Completa,Operativo_Manual,Nivel_3,Nivel_4,0.0,0.0
24,Private,Never-married,Other-relative,White,Male,40,<=50K,EEUU,Universitaria,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
38,Private,Married-civ-spouse,Husband,White,Male,40,>50K,EEUU,Escuela profesional,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
56,Self-emp-not-inc,Married-civ-spouse,Husband,White,Male,50,>50K,Norteamerica_Otros,Secundaria_Completa,Servicios,Nivel_3,Nivel_7,0.0,7.543273346705446
28,Private,Married-civ-spouse,Wife,White,Female,25,<=50K,EEUU,Tecnica_o_Universitaria_Incompleta,Administrativo_Especializado,Nivel_1,Nivel_4,8.310169021981912,0.0
36,Private,Never-married,Own-child,White,Female,40,<=50K,EEUU,Secundaria_Completa,Operativo_Manual,Nivel_3,Nivel_4,0.0,0.0
53,Private,Married-civ-spouse,Husband,White,Male,50,<=50K,EEUU,Basica_Incompleta,Operativo_Manual,Nivel_3,Nivel_4,0.0,0.0
56,Self-emp-inc,Married-civ-spouse,Husband,White,Male,50,<=50K,EEUU,Tecnica_o_Universitaria_Incompleta,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
49,Local-gov,Married-civ-spouse,Husband,Black,Male,40,>50K,EEUU,Tecnica_o_Universitaria_Incompleta,Operativo_Manual,Nivel_3,Nivel_4,0.0,0.0
55,Private,Married-civ-spouse,Husband,White,Male,56,<=50K,EEUU,Tecnica_o_Universitaria_Incompleta,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
22,Private,Never-married,Not-in-family,White,Male,41,<=50K,EEUU,Secundaria_Completa,Operativo_Manual,Nivel_3,Nivel_4,0.0,0.0
21,Private,Never-married,Own-child,White,Female,40,<=50K,EEUU,Tecnica_o_Universitaria_Incompleta,Servicios,Nivel_3,Nivel_4,0.0,0.0
40,Private,Married-civ-spouse,Husband,White,Male,60,<=50K,EEUU,Universitaria,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
30,Private,Never-married,Own-child,Black,Male,40,<=50K,Europa,Universitaria,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
29,State-gov,Married-civ-spouse,Husband,White,Male,50,>50K,EEUU,Universitaria,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
19,Private,Never-married,Own-child,Black,Male,35,<=50K,EEUU,Tecnica_o_Universitaria_Incompleta,Servicios,Nivel_3,Nivel_4,0.0,0.0
47,Private,Married-civ-spouse,Wife,White,Female,40,>50K,EEUU,Universitaria,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
20,Private,Never-married,Own-child,White,Female,28,<=50K,EEUU,Tecnica_o_Universitaria_Incompleta,Administrativo_Especializado,Nivel_3,Nivel_1,0.0,7.450079569807499
31,Private,Married-civ-spouse,Husband,White,Male,40,>50K,EEUU,Tecnica_o_Universitaria_Incompleta,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
35,,Married-civ-spouse,Husband,White,Male,40,<=50K,EEUU,Secundaria_Completa,,Nivel_3,Nivel_4,0.0,0.0
39,Private,Divorced,Not-in-family,White,Male,40,<=50K,EEUU,Tecnica_o_Universitaria_Incompleta,Operativo_Manual,Nivel_3,Nivel_4,0.0,0.0
28,Private,Never-married,Not-in-family,White,Female,60,<=50K,EEUU,Tecnica_o_Universitaria_Incompleta,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
24,Private,Never-married,Not-in-family,White,Female,40,<=50K,EEUU,Secundaria_Completa,Servicios,Nivel_3,Nivel_2,0.0,7.47477218239787
38,Self-emp-not-inc,Married-civ-spouse,Husband,White,Male,35,<=50K,EEUU,Secundaria_Completa,Operativo_Manual,Nivel_5,Nivel_4,8.386400901166214,0.0
37,Private,Married-civ-spouse,Husband,White,Male,50,<=50K,EEUU,Universitaria,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
46,Private,Divorced,Not-in-family,Black,Female,36,<=50K,EEUU,Tecnica_o_Universitaria_Incompleta,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
38,Federal-gov,Married-civ-spouse,Husband,White,Male,40,>50K,Asia,Maestría,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
43,Self-emp-not-inc,Married-civ-spouse,Husband,White,Male,60,<=50K,EEUU,Secundaria_Completa,Operativo_Manual,Nivel_3,Nivel_4,0.0,0.0
27,Private,Married-civ-spouse,Wife,White,Female,35,<=50K,EEUU,Tecnica_o_Universitaria_Incompleta,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
20,Private,Never-married,Own-child,White,Male,20,<=50K,EEUU,Tecnica_o_Universitaria_Incompleta,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
49,Private,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,40,>50K,EEUU,Tecnica_o_Universitaria_Incompleta,Operativo_Manual,Nivel_3,Nivel_4,0.0,0.0
61,Self-emp-inc,Married-civ-spouse,Husband,White,Male,40,<=50K,EEUU,Secundaria_Completa,Operativo_Manual,Nivel_3,Nivel_4,0.0,0.0
27,Private,Never-married,Own-child,White,Female,40,<=50K,EEUU,Tecnica_o_Universitaria_Incompleta,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
19,Private,Never-married,Own-child,White,Male,30,<=50K,Latinoamerica,Tecnica_o_Universitaria_Incompleta,Servicios,Nivel_3,Nivel_4,0.0,0.0
45,Private,Never-married,Not-in-family,White,Female,40,>50K,EEUU,Tecnica_o_Universitaria_Incompleta,Administrativo_Especializado,Nivel_3,Nivel_8,0.0,7.355641102974253
70,Private,Never-married,Other-relative,White,Male,40,<=50K,EEUU,Tecnica_o_Universitaria_Incompleta,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
31,Private,Never-married,Unmarried,Black,Female,30,<=50K,EEUU,Secundaria_Completa,Operativo_Manual,Nivel_3,Nivel_4,0.0,0.0
22,Private,Married-civ-spouse,Husband,White,Male,24,<=50K,EEUU,Tecnica_o_Universitaria_Incompleta,Servicios,Nivel_3,Nivel_4,0.0,0.0
36,Private,Widowed,Unmarried,White,Female,24,<=50K,EEUU,Secundaria_Completa,Servicios,Nivel_3,Nivel_4,0.0,0.0
64,Private,Married-civ-spouse,Husband,White,Male,40,<=50K,EEUU,Basica_Incompleta,Operativo_Manual,Nivel_3,Nivel_3,0.0,7.687080155783135
43,,Divorced,Not-in-family,White,Female,40,<=50K,EEUU,Tecnica_o_Universitaria_Incompleta,,Nivel_3,Nivel_4,0.0,0.0
47,Local-gov,Divorced,Unmarried,White,Female,38,<=50K,Latinoamerica,Tecnica_o_Universitaria_Incompleta,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
34,Private,Never-married,Not-in-family,White,Female,40,<=50K,EEUU,Secundaria_Completa,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
33,Private,Never-married,Other-relative,Asian-Pac-Islander,Female,40,<=50K,Asia,Universitaria,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
21,Private,Never-married,Own-child,White,Male,35,<=50K,EEUU,Secundaria_Completa,Operativo_Manual,Nivel_3,Nivel_4,0.0,0.0
52,,Divorced,Not-in-family,White,Male,45,>50K,EEUU,Secundaria_Completa,,Nivel_3,Nivel_4,0.0,0.0
48,Private,Married-civ-spouse,Husband,White,Male,46,<=50K,EEUU,Secundaria_Completa,Operativo_Manual,Nivel_3,Nivel_4,0.0,0.0
23,Private,Never-married,Not-in-family,White,Male,40,<=50K,EEUU,Universitaria,Operativo_Manual,Nivel_3,Nivel_4,0.0,0.0
71,Self-emp-not-inc,Separated,Unmarried,Black,Male,2,<=50K,EEUU,Tecnica_o_Universitaria_Incompleta,Administrativo_Especializado,Nivel_3,Nivel_2,0.0,7.504942068396171
29,Private,Divorced,Not-in-family,White,Male,60,<=50K,EEUU,Secundaria_Completa,Operativo_Manual,Nivel_3,Nivel_4,0.0,0.0
42,Private,Separated,Other-relative,Black,Male,50,<=50K,EEUU,Universitaria,Servicios,Nivel_3,Nivel_4,0.0,0.0
68,,Divorced,Not-in-family,White,Female,20,<=50K,EEUU,Basica_Incompleta,,Nivel_3,Nivel_4,0.0,0.0
25,Private,Never-married,Unmarried,White,Female,40,<=50K,EEUU,Secundaria_Completa,Servicios,Nivel_3,Nivel_4,0.0,0.0
44,Self-emp-inc,Divorced,Unmarried,Asian-Pac-Islander,Female,40,<=50K,EEUU,Maestría,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
28,Private,Never-married,Not-in-family,Asian-Pac-Islander,Female,40,<=50K,Europa,Secundaria_Completa,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
45,Self-emp-not-inc,Married-civ-spouse,Husband,White,Male,40,>50K,EEUU,Maestría,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
36,Private,Divorced,Unmarried,White,Female,40,<=50K,Latinoamerica,Tecnica_o_Universitaria_Incompleta,Servicios,Nivel_3,Nivel_4,0.0,0.0
39,Federal-gov,Never-married,Not-in-family,White,Male,42,<=50K,EEUU,Tecnica_o_Universitaria_Incompleta,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
46,State-gov,Widowed,Unmarried,White,Male,40,<=50K,EEUU,Maestría,Servicios,Nivel_3,Nivel_4,0.0,0.0
18,Private,Never-married,Own-child,White,Male,16,<=50K,EEUU,Basica_Incompleta,Operativo_Manual,Nivel_3,Nivel_4,0.0,0.0
66,Local-gov,Widowed,Not-in-family,White,Female,20,<=50K,EEUU,Tecnica_o_Universitaria_Incompleta,Administrativo_Especializado,Nivel_3,Nivel_4,0.0,0.0
27,Private,Never-married,Not-in-family,White,Male,40,<=50K,EEUU,Secundaria_Completa,Servicios,Nivel_3,Nivel_3,0.0,7.591357046698551
28,State-gov,Married-civ-spouse,Husband,White,Male,40,<=50K,EEUU,Secundaria_Completa,Servicios,Nivel_3,Nivel_4,0.0,0.0
